,endTime,artistName,trackName,msPlayed
452,2023-11-16 15:43,Disiz,DANDY OG,173960
453,2023-11-16 15:45,bed beats,under the stars,33436
454,2023-11-16 15:45,Bekar,A minuit,72014
455,2023-11-17 08:28,Bekar,A minuit,60978
456,2023-11-17 08:31,Krisy,sensuellement vôtre,185205
457,2023-11-17 08:34,Tsew The Kid,Cigarette,161851
458,2023-11-17 08:36,Disiz,CATCHEUR,159333
459,2023-11-17 08:37,Caballero,Goût du beurre,68360
460,2023-11-17 08:40,Nekfeu,Ken Kaneki,162960
461,2023-11-17 08:41,Bekar,Un matelas sur le sol,52364
462,2023-11-17 08:42,Senamo,Fleurs du mal,86093
